id,name,district,state,population,lat,lon,area
218,Bergneustadt,Oberbergischer Kreis,Nordrhein-Westfalen,18502,51.033,7.65,37.86
219,Berlin,,Berlin,3664088,52.52,13.405,891.7
220,Bernau bei Berlin,Barnim,Brandenburg,40908,52.66667,13.58306,103.73
221,Bernburg,Salzlandkreis,Sachsen-Anhalt,32257,51.8,11.733,113.45
222,Bernkastel-Kues,Bernkastel-Wittlich,Rheinland-Pfalz,7092,49.91611,7.06944,23.66
223,Bernsdorf,Bautzen,Sachsen,6344,51.367,14.067,59.65
224,Bernstadt auf dem Eigen,Görlitz,Sachsen,3298,51.04583,14.82639,51.89
225,Bersenbrück,Osnabrück,Niedersachsen,8722,52.533,7.917,42.54
226,Besigheim,Ludwigsburg,Baden-Württemberg,12643,48.9983,9.1417,0.0
227,Betzdorf,Altenkirchen (Westerwald),Rheinland-Pfalz,10076,50.78556,7.87278,9.57
228,Betzenstein,Bayreuth,Bayern,2482,49.68028,11.41778,51.84
229,Beverungen,Höxter,Nordrhein-Westfalen,13064,51.66278,9.3725,97.84
230,Bexbach,Saarpfalz,Saarland,17565,49.34944,7.25944,31.08
231,Biberach an der Riss,Biberach,Baden-Württemberg,33510,48.1,9.783,72.16
232,Biedenkopf,Marburg-Biedenkopf,Hessen,13491,50.91278,8.53222,90.33
233,Bielefeld,Urban district,Nordrhein-Westfalen,333509,52.02111,8.53472,257.8
234,Biesenthal,Barnim,Brandenburg,6029,52.76667,13.63306,60.48
235,Bietigheim-Bissingen,Ludwigsburg,Baden-Württemberg,43146,48.967,9.133,31.29
236,Billerbeck,Coesfeld,Nordrhein-Westfalen,11538,51.97917,7.295,90.93
237,Bingen am Rhein,Mainz-Bingen,Rheinland-Pfalz,25736,49.967,7.9,37.74
238,Birkenfeld,Birkenfeld,Rheinland-Pfalz,7034,49.65,7.183,13.58
239,Bischofsheim i.d.Rhön,Rhön-Grabfeld,Bayern,4783,50.4,10.017,67.72
240,Bischofswerda,Bautzen,Sachsen,10788,51.1275,14.17972,46.26
241,Bismark,Stendal,Sachsen-Anhalt,8094,52.66667,11.55,289.43
242,Bitburg,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,15181,49.967,6.533,47.54
243,Bitterfeld-Wolfen,Anhalt-Bitterfeld,Sachsen-Anhalt,37568,51.617,12.317,87.55
244,Blankenburg,Harz,Sachsen-Anhalt,19374,51.79528,10.96222,148.91
245,Blankenhain,Weimarer Land,Thüringen,6502,50.86,11.34389,113.53
246,Blaubeuren,Alb-Donau-Kreis,Baden-Württemberg,12434,48.41194,9.785,79.15
247,Blaustein,Alb-Donau-Kreis,Baden-Württemberg,16303,48.41833,9.90806,55.61
248,Bleckede,Lüneburg,Niedersachsen,9561,53.3,10.733,139.9
249,Bleicherode,Nordhausen,Thüringen,10244,51.41667,10.56667,108.2
250,Blieskastel,Saarpfalz,Saarland,20287,49.23306,7.25,108.27
251,Blomberg,Lippe,Nordrhein-Westfalen,15093,51.93306,9.08306,99.1
252,Blumberg,Schwarzwald-Baar-Kreis,Baden-Württemberg,10155,47.83917,8.53417,98.68
253,Bobingen,Augsburg,Bayern,17628,48.267,10.817,50.45
254,Bocholt,Borken,Nordrhein-Westfalen,71061,51.833,6.617,119.37
255,Bochum,Urban district,Nordrhein-Westfalen,364454,51.48194,7.21583,145.4
256,Bockenem,Hildesheim,Niedersachsen,9780,52.01167,10.13194,109.04
257,Bodenwerder,Holzminden,Niedersachsen,5588,51.967,9.517,28.92
258,Bogen,Straubing-Bogen,Bayern,10085,48.917,12.683,49.74
259,Boizenburg,Ludwigslust-Parchim,Mecklenburg-Western Pomerania,10722,53.367,10.717,47.26
260,Bonndorf im Schwarzwald,Waldshut,Baden-Württemberg,6953,47.81944,8.34306,76.03
261,Bonn,Urban district,Nordrhein-Westfalen,330579,50.733,7.1,141.06
262,Bopfingen,Ostalbkreis,Baden-Württemberg,11690,48.85694,10.35222,76.98
263,Boppard,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,15369,50.23139,7.59083,75.13
264,Borgentreich,Höxter,Nordrhein-Westfalen,8501,51.567,9.25,138.76
265,Borgholzhausen,Gütersloh,Nordrhein-Westfalen,8964,52.1,8.3,55.84
266,Borken,Schwalm-Eder-Kreis,Hessen,12506,51.04583,9.26722,82.3
267,Borken,Borken,Nordrhein-Westfalen,42650,51.833,6.867,152.6
268,Borkum,Leer,Niedersachsen,5002,53.58806,6.66972,30.74
269,Borna,Leipzig,Sachsen,19120,51.117,12.5,62.35
270,Bornheim,Rhein-Sieg-Kreis,Nordrhein-Westfalen,48348,50.75917,7.005,82.72
